target,target_name,text
3,soc.religion.christian,"From: sun075!Gerry.Palo@uunet.uu.net (Gerry Palo)
Subject: Re: Christianity and repeated lives
Lines: 48

In article <May.12.04.26.40.1993.9887@athos.rutgers.edu> u9245669@athmail1.cause
way.qub.ac.uk writes (single angle brackets):

>> Jesus is talking with the
>>apostles and they ask him why the pharisees say that before the messiah can 
>>come Elijah must first come. Jesus replies that Elijah has come, but they did 
>>not recognize him. It then says that the apostles perceived that he was referi
ng 
>>to John the Baptist. This seems to me to clearly imply reincarnation.
>
>This was a popular belief in the Judaism of Jesus` time, that Elijah
>would return again (as he had been taken in to heaven in a chariot and
>did not actually die).  However Jesus was referring to John the
>Baptist not in the sense that Elijah was reincarnated as John
>(remember Elijah didn`t die) but that John was a similar prophet to
>Elijah. >

There is no question of similarity in Jesus indication about John.
The passage in Matthew is very direct.  Where Luke (1:17) reports
the angel Gabriel prophesying that John will go before Christ ""in the 
power and spirit of Elias"", In Matthew 11: 14, Jesus himself says of John,
   
   ""And if you care to accept it, he himself is Elijah, who
    was to come"".

It is interesting that Jesus prepended the words, ""If you care to accept
it"", as if to say that the implications of this truth, namely of rein-
carnation, I will not force on you, but for those who can accept it, here it
is.  A Jewish poster to other newsgroups on Jewish esotericism and other
topics has outlined the esoteric, cabbalistic Jewish teaching of of
reincarnation and Karma, a teaching that is little known among Jews
today, but which is apparently widespread enough in Israel that Hannah
Hurnard (""Hinds Feet on High Places"") was told about it by a Rabbi
she was trying to convert back in the 1940s as a missionary in Palestine.
Thus there may well have been a small number of Jews who knew about this,
whereas the large number of people did not.  The statement of Jesus about 
John, the greatest human personality in the New Testament, is guarded
but nevertheless quite direct.  Again, the subject of reincarnation, one
way or another, is not a subject of the New Testament, nor is the fate in general
of the human being between death and the last judgement.  But there are 
occasional indications that point to it.

As for the ""popular belief"" that Elijah would come again, it was more than 
a popular belief, as Jesus confirms it in more than one place, and he never 
corrected those who were expecting Elijah --  for example, those who thought 
that Jesus himself be he.

Gerry Palo (73237.2006@compuserve.com)
"
3,soc.religion.christian,"From: Fil.Sapienza@med.umich.edu (Fil Sapienza)
Subject: Re: Why do people become atheists? Apology
Organization: University of Michigan Hospitals
Lines: 15

In article <May.11.02.37.42.1993.28189@athos.rutgers.edu> maxwell c muir,
muirm@argon.gas.organpipe.uug.arizona.edu writes:
>Instead, I'm still faced with the
>implication that atheism is some kind of aberration and that only
""broken""
>people are atheist.

Again, as the original poster of the article, I apologize if it
implied that atheism = brokenness.  Such was not my intent and
I apologize for any hurt feelings in the process.
--
Filipp Sapienza
Department of Technology Services
University of Michigan Hospitals - Surgery
Fil.Sapienza@med.umich.edu
"
2,sci.med,"From: mmm@cup.portal.com (Mark Robert Thorson)
Subject: Re: hypodermic needle
Organization: The Portal System (TM)
Lines: 4

Scientific American had a nice short article on the history of the
hypodermic about 10 or 15 years ago.  Prior to liquid injectables,
there were paddle-like needles used to implant a tiny pill under the
skin.
"
1,rec.autos,"From: matthews@oswego.Oswego.edu
Subject: MG T-series FOR SALE
Reply-To: matthews@oswego.Oswego.edu ()
Distribution: na
Organization: Instructional Computing Center, SUNY at Oswego, Oswego, NY
Lines: 31
Originator: matthews@cloy.oswego.edu


1954 MG-TF with frame-up restoration in early '70's - a local show winner!
Driven very little and stored inside since then - mostly collected dirt &
dust.  Needs attention to brake cylinders (like all MG-T's) but otherwise
ready to run.  Chrome & paint not fancy but it is mechanically excellent.
The engine, a 1250cc, was completely overhauled by a machine shop.  It is
priced at $12,000.

1953 MG-TD Good shape but hasn't been run since '70's.  Needs engine work,
but no rust and everything is with it including a top, side curtains and
carpet that were new and haven't seen the outdoors since the '70's. $9,500.

1952 MG-TD Basket Case.  I'd call it a parts car, but it's too good
for that.  Everything seems to be there except the tach.  Would make
a good project car or parts car if you insist.  No apparent rust but the
upholstery is a disaster.  Stored inside since the '70's.  The top was
new but now soso.  This one has wire wheels!  Looking for $4,500.

All three cars will be sold ""as they stand"" with no hassles or haggles.
Time has passed by and it is time to part company.  Prices are negotiable.

Reply via matthews@Oswego.oswego.edu or   U.S. mail to: P. O. Box 1015
                                       315-341-3501   Oswego, NY 13126


-- 

Harry Matthews K2AOU    WRVO/WRVN/WRVJ     Internet: matthews@oswego.oswego.edu
Learning Resources      Satellite TV         Bitnet: matthews@snyoswva
S.U.N.Y. College        Cable TV         Voice Mail: 315-341-3501
Oswego, NY 13126        ALLOY NTNX-PC    MHO's are mine, not S.U.N.Y. Oswego's.
"
0,comp.graphics,"From: powlesla@acs.ucalgary.ca (Jim Powlesland)
Subject: comp.graphics FAQ
Nntp-Posting-Host: acs6.acs.ucalgary.ca
Organization: The University of Calgary, Alberta
Lines: 8


Is there a comp.graphics FAQ and if so, where?

-- 
/  Jim Powlesland                   / INTERNET: powlesla@acs.ucalgary.ca
/  Academic Computing Services      / VOICE:    (403)220-7937
/  University of Calgary            / MESSAGE:  (403)220-6201
/  Calgary, Alberta CANADA  T2N 1N4 / FAX:      (403)282-9199
"
0,comp.graphics,"From: robert@slipknot.rain.com (Robert Reed)
Subject: Re: ACM SIGGRAPH (and ACM in general)
Reply-To: Robert Reed <robert@slipknot.rain.com>
Organization: Home Animation Ltd.
Lines: 50

In article <1993Apr29.023508.11556@koko.csustan.edu> rsc@altair.csustan.edu (Steve Cunningham) writes:
|
|And no, SIGGRAPH 93 has not skipped town -- we're preparing the best
|SIGGRAPH conference yet!

Speaking of SIGGRAPH, I just went through the ordeal of my annual registration
for SIGGRAPH and re-upping of membership in the ACM last night, and was I ever
grossed out!  The new prices for membership are almost highway robbery!

For example:

	SIGGRAPH basic fee went from $26 last year to $59 this year for the same
	thing, a 127% increase.  Those facile enough to arrange a trip to the
	annual conference could reduce this to $27 by selecting SIGGRAPH Lite,
	which means SIGGRAPH is charging an additional $32 (or so) for the
	proceedings and the art show catalog, essentially.

	TOPLAS went up 40% in cost, way outstripping the current inflation rate.

	Basic SIGCHI fees remainded the same, but whereas before SIGCHI
	membership included UIST and Human Factors conferences proceedings,
	these are now an extra cost option.  Bundling that back into the basic
	rate, equivalent services have gone up 100% in cost.

	SIGOIS membership cost has up 33%, but they've also split out the
	Computer Supported Cooperative Work conference proceedings that used to
	be included with membership.  Adding that cost back in means this SIG
	also has doubled its membership fee.

What really galls me is that the ACM sent out brochures a couple months ago
touting their new approach to providing member services, and tried to make it
sound like they were offering NEW services.  But with the exception of a couple,
like SIGGRAPH, all the ""plus"" services appear to be just splitting the costs
into smaller piles so that they don't look so big.  But their recommended
changes to my membership would have me paying 90% more than last year for a 31%
increase in services (measured by cost, not by value), and, curiously, a 31%
inflation rate on the publications I got last year.

Is anyone out there as galled by this extortion as I am?
________________________________________________________________________________
Robert Reed			Home Animation Ltd.		503-656-8414
robert@slipknot.rain.com	5686 First Court, West Linn, OR 97068

SHOOTING YOURSELF IN THE FOOT IN VARIOUS LANGUAGES AND SYSTEMS

Motif:  You spend days writing a UIL description of your foot, the
  trajectory, the bullet, and the intricate scrollwork on the ivory handles
  of the gun. When you finally get around to pulling the trigger, the gun
  jams.
________________________________________________________________________________
"
1,rec.autos,"From: eliot@lanmola.engr.washington.edu (eliot)
Subject: Re: Best Radar Detector - VALENTINE-1?
Organization: skulls 'r us
Lines: 32
NNTP-Posting-Host: lanmola.engr.washington.edu


re: extended Ka bands.

I recently bought a 2 band detector.  You guys must all think I'm
nuts, right?  Well, I did a little research into Ka usage in this
area and found out that Ka is not currently being used in this state
as well as surrounding states.  Here's how I found out:

- A cop friend who did spend time nailing speeders doesn't even know 
  what Ka is.  He's heard of K, which is what they use here and I
  explained that Ka is used for photo radar etc.. He then said, yeah,
  ""Ka stands for K automatic""... duuhh.  He then went on to say that
  plans were being made for getting laser guns as far as going high
  tech were concerned, but he didn't know too much.

- My 8 year old 2 band whistler was consistently going off at speed traps,
  even the real sneaky ones.

- When I called the Escort Shop, they confirmed that Ka is not used here
  or in surrounding states.  They did claim that Laser was being used
  a lot here, which I was quite skeptical of.

So in the end, instead of spending a lot of money and/or waiting
months for a state of the art detector, I got a low priced, high
performance 2 band Escort 2200.  Incidentally its performance is equal
to their top of the line model in X and K band detection.  I know that
Escort has been surpassed by other brands lately, but I've never fully
relied on a detector and I was convinced that the Escorts would be at
least quite good, which was good enough for me and my wallet.


eliot
"
2,sci.med,"From: paj@uk.co.gec-mrc (Paul Johnson)
Subject: Re: cats and pregnancy
Reply-To: paj@uk.co.gec-mrc (Paul Johnson)
Organization: GEC-Marconi Research Centre, Great Baddow, UK
Lines: 25


>Hello,
>I heard that a certain disease (toxoplasmosys?) is transmitted by cats which
>can harm the unborn fetus. Does anybody know about it? Is it a problem to 
>have a cat in the same apartment?


See the rec.pets.cats FAQ or any doctor or vet for more information.

I am not any of the above, but we do have a couple of cats.

It is transmitted through the fecal matter, so a pregnant woman should
avoid cleaning the cat tray and you should both wash hands before
preparing or eating meals.  The latter is sound advice at any time of
course.

Apart from that, its no great problem.  You certainly do not need to
get rid of your cats.

Paul.
-- 
Paul Johnson (paj@gec-mrc.co.uk).	    | Tel: +44 245 73331 ext 3245
--------------------------------------------+----------------------------------
These ideas and others like them can be had | GEC-Marconi Research is not
for $0.02 each from any reputable idealist. | responsible for my opinions
"
2,sci.med,"From: Randy_Faneuf@vos.stratus.com
Subject: Urine analysis
Organization: Stratus Computer, Marlboro Ma.
Lines: 36
NNTP-Posting-Host: m72.eng.stratus.com





 Someone please help me. I am searching to find out (as many others may)
an absolute 'cure' to removing all detectable traces of marijuana from
a persons body. Is there a chemical or natural substance that can be
ingested or added to urine to make it undetectable in urine analysis.
If so where can these substances be found. 

            If you know this information, please Email me directly
             
                Thank You Kindly for your support,


                         Randy




















"
1,rec.autos,"From: callison@uokmax.ecn.uoknor.edu (James P. Callison)
Subject: Re: SUPER MEGA AUTOMOBILE SIGHTING(s)!!!!! Exotics together!
Nntp-Posting-Host: uokmax.ecn.uoknor.edu
Organization: Engineering Computer Network, University of Oklahoma, Norman, OK, USA
Lines: 60

In article <C63xp2.KJB@constellation.ecn.uoknor.edu> callison@uokmax.ecn.uoknor.edu (James P. Callison) writes:
>In article <1r7f9qINNk24@phantom.gatech.edu> grahamt@phantom.gatech.edu (Graham E. Thomas) writes:
>>jmm4h@Virginia.EDU (""The Blade Runner"") writes:
>>>sighting of such a fine beast.  But remember, the Mustang will
>>>forever be the true King of the Road.  

Especially the '68 Shelby-American GT-500KR (King of the Road, so named
to steal GM's planned Camaro King of the Road's thunder :-)

>>And maybe the Mustang
>>will be forever King of the Road, the GT-40 isn't road legal.
>
>I think the GT-40 actually _is_ street legal, although that particular
>question is moot (see the price figures below).

Some GT-40s are street legal, some aren't.

>>This car was right hand drive (weren't they all like that?). How much does
>>a GT-40 go for? How many were made?

I found my Shelby-American guide. There were a grand total 126 GT-40s
built:
		GT-40 Coupes		55
		GT-40 Road Cars		31
		GT-40 Mk II		13
		GT-40 Mk IIIs		 7
		GT-40 Roadsters		 5
		Mirages			 3
		GT-40 Mk IVs		12
		   	TOTAL:	       126
		Additional uncompleted Mk IIIs	6-12

Twelve of these cars were prototypes; 48 racing coupes; 31 road coupes;
eight Mk II coupes; 4 LHD Mk IIIs; and 3 RHD Mk IIIs. The other 
breakdowns follow the above list (eg, 12 were Mk IVs). The LHD/RHD
breakdown is only given on the Mk IIIs.

The prices (for those which can be bought) are around the $1 Million
mark, last I heard, with a projection of some $3.5 Million (or
thereabouts) in 2000. It was second only to some penny-ante Ferarri ;-).

Shelby won the FIA World Manufacturer's Cup with his Cobras in '65; that
was also the year that he retired them from the Shelby-American racing
team (in favor of the Ford GT program the next year). That victory
broke a 13(?) year Ferarri winning streak.

Well, there's lotsa info I could spout, but I'll refrain. Much of
this information comes from ""Hot Rod"" magazine's ""Shelby American
Cobra/Mustang Guide,"" which has more info on the Shelby-American 
Fords than you could _ever_ want to know.

				James

James P. Callison    Microcomputer Coordinator, U of Oklahoma Law Center 
Callison@uokmax.ecn.uoknor.edu   /\    Callison@aardvark.ucs.uoknor.edu   
DISCLAIMER: I'm not an engineer, but I play one at work...
		The forecast calls for Thunder...'89 T-Bird SC
   ""It's a hell of a thing, killing a man. You take away all he has 
	and all he's ever gonna have."" 
			--Will Munny, ""Unforgiven""
"
2,sci.med,"From: thomas@mvac23.UUCP (Thomas Lapp)
Subject: Re: Nose Picking
Organization: MultiVac23, Newark, DE, U.S.A.
Lines: 22

stephen@mont.cs.missouri.edu (Stephen Montgomery-Smith) writes:
> 1)  Does it cause the body any harm if one picks one's nose?  For example,
> might it lead to a loss of ability to smell?
> 
> 2)  Is it harmful for one to eat one's nose pickings?

I've seen children do this and wondered about something.  If the
mucus in one's nose collects (filters) particles going into the
airway, if a child then picks and ingests this material, might
it have a vaccinatory effect, since if the body ingests airborne
diseases or other 'stuff' on the mucus, the body might generate
antibodies for this small ""invasion""?

Maybe this is why some children don't get sick very often? :-)
                         - tom
--
internet     : mvac23!thomas@udel.edu  or  thomas%mvac23@udel.edu (home)
             : lapp@cdhub1.dnet.dupont.com (work)
OSI          : C=US/A=MCI/S=LAPP/D=ID=4398613
uucp         : {ucbvax,mcvax,uunet}!udel!mvac23!thomas
Location     : Newark, DE, USA

"
